Show_ID,Performing,date,time,genre,venue,city,state,long,lat
0,Sydney Sprague,2023-12-06,18:30:00,Rock,The Masquerade - Purgatory,Atlanta,GA,-84.389887,33.75184
1,Mike and the Moonpies,2023-12-06,20:00:00,Country,The Loft,Atlanta,GA,-84.3877907,33.7918926
2,Sarah Brightman: A Christmas Symphony,2023-12-06,20:00:00,Pop,Atlanta Symphony Hall,Atlanta,GA,-84.385493,33.790098
3,Pardyalone - I Left You In Minnesota Tour,2023-12-06,20:00:00,Hip-Hop/Rap,Vinyl,Atlanta,GA,-84.3877907,33.7918926
4,Jazmin Bean,2023-12-07,19:00:00,Metal,The Masquerade - Hell,Atlanta,GA,-84.389887,33.75184
5,Nevertel,2023-12-07,19:00:00,Rock,The Masquerade - Purgatory,Atlanta,GA,-84.389887,33.75184
6,The Wood Brothers,2023-12-07,19:30:00,Other,Georgia Theatre,Athens,GA,-83.347504,34.005199
7,HARDY: the mockingbird & THE CROW Fall Tour presented by eBay Motors,2023-12-07,19:30:00,Country,Enmarket Arena,Savannah,GA,-81.11227,32.07514
8,The Allman Betts Family Revival,2023-12-07,19:30:00,Rock,Macon City Auditorium,Macon,GA,-83.631201,32.837381
9,The Moss,2023-12-07,20:00:00,Alternative,Terminal West,Atlanta,GA,-84.446404,33.791901
10,49 Winchester,2023-12-07,20:00:00,Other,Variety Playhouse,Atlanta,GA,-84.334602,33.770199
11,Majid Jordan - Good People Live,2023-12-07,20:00:00,Dance/Electronic,Center Stage Theater,Atlanta,GA,-84.3877907,33.7918926
12,85 South Show Live,2023-12-07,20:00:00,Other,Gateway Center Arena,College Park,GA,-84.457475,33.645576
13,JoJo Hermann,2023-12-07,20:00:00,Rock,Vinyl,Atlanta,GA,-84.3877907,33.7918926
14,Angel Olsen,2023-12-08,19:00:00,Alternative,40 Watt Club,Athens,GA,-83.347504,34.005199
15,Katatonia,2023-12-08,19:00:00,Metal,The Masquerade - Hell,Atlanta,GA,-84.389887,33.75184
