Show_ID,Performing,date,time,genre,venue,city,state,long,lat
0,La Goony Chonga,2023-12-05,18:30:00,Hip-Hop/Rap,The Atlantis,Washington,DC,-77.02241,38.91819
1,Big Freedia's Christmas in Central City Tour,2023-12-05,19:00:00,Hip-Hop/Rap,9:30 CLUB,Washington,DC,-77.02373,38.91795
2,"LaMP: Russ Lawton, Scott Metzger, Ray Paczkowski",2023-12-06,18:30:00,Rock,The Atlantis,Washington,DC,-77.02241,38.91819
3,Cynthia Erivo,2023-12-06,20:00:00,Other,Kennedy Center - Eisenhower Theater,Washington,DC,-77.049004,38.900501
4,Durry w/ Mega Mango,2023-12-06,20:00:00,Other,Union Stage,Washington,DC,-77.019798,38.877998
5,Au5,2023-12-06,22:00:00,Dance/Electronic,Soundcheck,Washington,DC,-77.032811,38.902135
6,Neal Francis,2023-12-07,18:30:00,Rock,The Atlantis,Washington,DC,-77.02241,38.91819
7,Stephen Sanchez,2023-12-07,19:00:00,Rock,9:30 CLUB,Washington,DC,-77.02373,38.91795
8,SCREAM w/ Soulside,2023-12-07,19:30:00,Rock,Black Cat,Washington,DC,-77.037598,38.919701
9,Vicetone,2023-12-07,22:00:00,Dance/Electronic,Soundcheck,Washington,DC,-77.032811,38.902135
10,Sungazer,2023-12-08,18:30:00,Jazz,The Atlantis,Washington,DC,-77.02241,38.91819
11,DD Osama,2023-12-08,19:00:00,Hip-Hop/Rap,Howard Theatre,Washington,DC,-77.02113555,38.91543378
12,Matt Rogers: Have You Heard Of Christmas? Album Tour,2023-12-08,19:00:00,Comedy,Lincoln Theatre,Washington,DC,-77.028992,38.9174
13,Stephen Sanchez,2023-12-08,20:00:00,Rock,9:30 CLUB,Washington,DC,-77.02373,38.91795
14,Norm Lewis w/ National Symphony Orchestra,2023-12-08,20:00:00,Other,Kennedy Center - Concert Hall,Washington,DC,-77.049004,38.900501
15,We Are Scientists,2023-12-08,20:00:00,Alternative,Union Stage,Washington,DC,-77.019798,38.877998
16,Step Afrika!,2023-12-08,20:00:00,Other,Fichandler Theatre,Washington,DC,-77.019798,38.877998
17,Chris Lorenzo,2023-12-08,21:00:00,Dance/Electronic,Echostage,Washington,DC,-76.97281793,38.91984858
18,Le Youth,2023-12-08,21:00:00,Other,Culture - Washington DC,Washington,DC,-76.986099,38.905701
19,Calyx + Matrix & Future Bound w/ Siren,2023-12-08,22:00:00,Dance/Electronic,Soundcheck,Washington,DC,-77.032811,38.902135
20,Norm Lewis w/ National Symphony Orchestra,2023-12-09,14:00:00,Other,Kennedy Center - Concert Hall,Washington,DC,-77.049004,38.900501
21,Step Afrika!,2023-12-09,14:00:00,Other,Fichandler Theatre,Washington,DC,-77.019798,38.877998
22,The Holiday Show,2023-12-09,15:00:00,Other,Lincoln Theatre,Washington,DC,-77.028992,38.9174
23,Illiterate Light,2023-12-09,18:30:00,Rock,The Atlantis,Washington,DC,-77.02241,38.91819
24,bp Renegades Steel Orchestra,2023-12-09,19:00:00,Reggae,Entertainment & Sports Arena,Washington,DC,-76.991441,38.844976
25,"COLORS Worldwide Presents: R&B ONLY LIVE (Washington, D.C.)",2023-12-09,19:30:00,R&B,The Anthem,Washington,DC,-77.026165,38.880099
26,The Holiday Show,2023-12-09,20:00:00,Other,Lincoln Theatre,Washington,DC,-77.028992,38.9174
27,Norm Lewis w/ National Symphony Orchestra,2023-12-09,20:00:00,Other,Kennedy Center - Concert Hall,Washington,DC,-77.049004,38.900501
28,Step Afrika!,2023-12-09,20:00:00,Other,Fichandler Theatre,Washington,DC,-77.019798,38.877998
29,"""Schmalls Fest"" Feat. 50 Year Storm",2023-12-09,20:00:00,Rock,Pearl Street Warehouse,Washington,DC,-77.024045,38.878762
