Show_ID,Performing,date,time,genre,venue,city,state,long,lat
0,Wendlo,2023-12-06,18:30:00,Rock,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
1,The Gang's All Here Tour With Skid Row And Buckcherry,2023-12-06,18:30:00,Metal,House of Blues Anaheim,Anaheim,CA,-117.9229975,33.8095868
2,Your Neighbors with special guest 7KY,2023-12-06,19:00:00,Rock,The Peppermint Club,Los Angeles,CA,-118.381072,34.076851
3,"Amber Wild with Hardcastle, and Levi Evans",2023-12-06,19:00:00,Rock,The Echo,Los Angeles,CA,-118.260108,34.077729
4,Jenny Lewis - The Joy'All Ball Tour,2023-12-06,19:00:00,Rock,The Observatory,Santa Ana,CA,-117.9175717,33.6997648
5,The Music Behind STAR WARS JEDI: SURVIVOR,2023-12-06,19:30:00,Classical,The GRAMMY Museum,Los Angeles,CA,-118.264647,34.04441
6,"Sean Healy Presents: KiNG MALA with bludnymph, & Zoe Ko",2023-12-06,19:30:00,Pop,Echoplex,Los Angeles,CA,-118.2606316,34.0775847
7,Brent Faiyaz: F*ck The World It's A Wasteland Tour,2023-12-06,20:00:00,R&B,YouTube Theater,Inglewood,CA,-118.3436,33.94982
8,Petey,2023-12-06,21:00:00,Other,The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
9,Armor For Sleep,2023-12-07,18:30:00,Rock,House of Blues Anaheim,Anaheim,CA,-117.9229975,33.8095868
10,Madeline The Person,2023-12-07,18:30:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
11,Bassrush Presents - Calcium (18+),2023-12-07,19:00:00,Dance/Electronic,The Observatory,Santa Ana,CA,-117.9175717,33.6997648
12,Devendra Banhart,2023-12-07,19:00:00,Rock,The Belasco,Los Angeles,CA,-118.2592392,34.04024506
13,Runnner presents The Hot Dog Holiday Showcase,2023-12-07,19:00:00,Rock,Constellation Room,Santa Ana,CA,-117.917493,33.699879
14,"Mandy, Indiana with Touching Ice",2023-12-07,19:00:00,Rock,The Echo,Los Angeles,CA,-118.260108,34.077729
15,Volores w/ Holdfast,2023-12-07,20:00:00,Rock,Saint Rocke,Hermosa Beach,CA,-118.3964,33.865101
16,Father w/ Ethereal,2023-12-07,20:00:00,Other,Roxy Theatre-CA,West Hollywood,CA,-118.3815,34.0942
17,Samara Joy,2023-12-07,20:00:00,Other,The Soraya,Northridge,CA,-118.5,34.2439
18,Botch,2023-12-07,20:30:00,Metal,The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
19,Ama Lou,2023-12-07,21:00:00,Other,El Rey Theatre - Los Angeles,Los Angeles,CA,-118.349998,34.070202
20,Cayucas w/ Matt Costa,2023-12-07,21:00:00,Pop,Pappy and Harriets Pioneertown Palace,Pioneertown,CA,-116.548203,34.194401
21,flor,2023-12-07,21:30:00,Latin,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
22,Offset Jim,2023-12-07,21:30:00,Hip-Hop/Rap,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
23,Brujeria,2023-12-08,18:00:00,Metal,Teragram Ballroom,Los Angeles,CA,-118.267076,34.051841
24,Jenny Lewis - The Joy'All Ball Tour,2023-12-08,18:00:00,Rock,Hollywood Palladium,Hollywood,CA,-118.32421313,34.09850537
25,Mad Tsai,2023-12-08,18:30:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
26,The Aquabats,2023-12-08,18:30:00,Rock,House of Blues Anaheim,Anaheim,CA,-117.9229975,33.8095868
27,The Blue Moon Boys,2023-12-08,19:00:00,Rock,Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
28,The Slackers,2023-12-08,19:00:00,Other,1720,Los Angeles,CA,-118.239197,34.028702
29,NEZZA: One Night Only,2023-12-08,19:00:00,Pop,Constellation Room,Santa Ana,CA,-117.917493,33.699879
30,The Dresden Dolls,2023-12-08,19:00:00,Rock,The Belasco,Los Angeles,CA,-118.2592392,34.04024506
31,Codeine with Winter,2023-12-08,19:00:00,Rock,The Echo,Los Angeles,CA,-118.260108,34.077729
32,BLÜ EYES,2023-12-08,19:00:00,Pop,The Parish at House of Blues Anaheim,Anaheim,CA,-117.912474,33.806533
33,BASSRUSH Presents - PhaseOne (18+),2023-12-08,19:00:00,Dance/Electronic,The Observatory,Santa Ana,CA,-117.9175717,33.6997648
34,Deathchant // Black Water Holylight W/ Sacri Monti,2023-12-08,19:30:00,Metal,The Regent Theater,Los Angeles,CA,-118.24799,34.0473
35,Home for the Holidays w/ Peabo Bryson,2023-12-08,20:00:00,Fairs & Festivals,Cerritos Center,Cerritos,CA,-118.067596,33.867298
36,Deafheaven,2023-12-08,20:00:00,Rock,The Novo by Microsoft,Los Angeles,CA,-118.266403,34.0397
37,Cayucas w/ Matt Costa,2023-12-08,20:00:00,Pop,El Rey Theatre - Los Angeles,Los Angeles,CA,-118.349998,34.070202
38,Princess presents: A Very Special Holiday Special plus Special Guests,2023-12-08,20:00:00,Pop,The Bellwether,Los Angeles,CA,-118.25837,34.0573
39,Botch,2023-12-08,20:30:00,Metal,The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
40,Ha Vay,2023-12-08,21:30:00,Rock,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
41,DJ Armony,2023-12-08,22:00:00,Other,Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
42,Afro GoGo - Afrobeats Dance Party,2023-12-08,22:00:00,Dance/Electronic,The Regent Theater,Los Angeles,CA,-118.24799,34.0473
43,KROQ Almost Acoustic Christmas,2023-12-09,18:00:00,Rock,Kia Forum,Inglewood,CA,-118.341868,33.9583
44,Scene Queen - The Bimbo Beta Pi Tour,2023-12-09,18:00:00,Rock,The Parish at House of Blues Anaheim,Anaheim,CA,-117.912474,33.806533
45,girlhouse,2023-12-09,18:30:00,Rock,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
46,Night Talks,2023-12-09,18:30:00,Rock,Constellation Room,Santa Ana,CA,-117.917493,33.699879
47,Silverstein 10 Years of: 'This is How the Wind Shifts' Tour,2023-12-09,18:30:00,Rock,The Regent Theater,Los Angeles,CA,-118.24799,34.0473
48,Mammoth WVH,2023-12-09,18:30:00,Rock,The Belasco,Los Angeles,CA,-118.2592392,34.04024506
49,Class X,2023-12-09,19:00:00,Rock,Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
50,Dead Man's Party and Through Being Cool,2023-12-09,19:00:00,Undefined,The Biergarten at Old World HB,Huntington Beach,CA,-117.9966533,33.73469267
51,Botch,2023-12-09,19:00:00,Metal,The Observatory,Santa Ana,CA,-117.9175717,33.6997648
52,Hania Rani,2023-12-09,19:00:00,Classical,Teragram Ballroom,Los Angeles,CA,-118.267076,34.051841
53,William Basinski,2023-12-09,19:00:00,Dance/Electronic,The Wiltern,Los Angeles,CA,-118.30879207,34.06141494
54,The Party101 Legends Tour w/ DJ Matt Bennett - 18+,2023-12-09,19:00:00,Dance/Electronic,Echoplex,Los Angeles,CA,-118.2606316,34.0775847
55,Breaking Sound 12/09/2023 At The Peppermint Club,2023-12-09,19:00:00,Rock,The Peppermint Club,Los Angeles,CA,-118.381072,34.076851
56,mxmtoon - SOLD OUT,2023-12-09,19:00:00,Pop,The Echo,Los Angeles,CA,-118.260108,34.077729
57,FOR KING + COUNTRY's A Drummer Boy Christmas: The 2023 Tour Experience,2023-12-09,19:00:00,Pop,Honda Center,Anaheim,CA,-117.87653112,33.80780364
58,Premium Club Seats - For King & Country,2023-12-09,19:00:00,Pop,Honda Center,Anaheim,CA,-117.87653112,33.80780364
59,Los Yesterdays,2023-12-09,19:00:00,Rock,Fox Performing Arts Center,Riverside,CA,-117.37533193,33.98376036
60,Brian McKnight,2023-12-09,20:00:00,R&B,The Novo by Microsoft,Los Angeles,CA,-118.266403,34.0397
61,Los Angeles Philharmonic,2023-12-09,20:00:00,Classical,Walt Disney Concert Hall,Los Angeles,CA,-118.287804,34.003101
62,Skid Row w/ Buckcherry,2023-12-09,20:00:00,Rock,The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
63,Tommy Emmanuel,2023-12-09,20:00:00,Country,Saban Theatre,Beverly Hills,CA,-118.382896,34.064899
64,Christmas in LA with Dawes & Friends,2023-12-09,20:00:00,Rock,The Bellwether,Los Angeles,CA,-118.25837,34.0573
65,Pancho Barraza,2023-12-09,20:00:00,Latin,Toyota Arena,Ontario,CA,-117.566364,34.075329
66,Shahkar Bineshpajooh,2023-12-09,20:30:00,Other,Peacock Theater - LA,Los Angeles,CA,-118.266403,34.0397
67,Berlin,2023-12-09,21:00:00,Alternative,Canyon Club-CA,Agoura Hills,CA,-118.762497,34.140301
68,Wreckno,2023-12-09,21:00:00,Other,El Rey Theatre - Los Angeles,Los Angeles,CA,-118.349998,34.070202
69,Braindead x MASS Presents: draag me,2023-12-09,21:30:00,Rock,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
70,DJ Sammy Jay,2023-12-09,22:00:00,Dance/Electronic,Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
71,Hot Honey - LGBTQ Women-Centered Dance Party & Burlesque Event,2023-12-09,22:30:00,Dance/Electronic,The Peppermint Club,Los Angeles,CA,-118.381072,34.076851
72,Los Angeles Philharmonic,2023-12-10,14:00:00,Classical,Walt Disney Concert Hall,Los Angeles,CA,-118.287804,34.003101
73,Dad Jokes,2023-12-10,20:00:00,Other,The Lodge Room,Highland Park,CA,-118.19457,34.109121
74,ill peach,2023-12-10,18:30:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
75,"Silverstein 10 Years of: ""This is How the Wind Shifts"" Tour",2023-12-10,18:30:00,Rock,House of Blues Anaheim,Anaheim,CA,-117.9229975,33.8095868
76,Remember The Name...The Struts,2023-12-10,18:30:00,Rock,The Wiltern,Los Angeles,CA,-118.30879207,34.06141494
77,Los Angeles Philharmonic,2023-12-10,19:00:00,Classical,Cerritos Center,Cerritos,CA,-118.067596,33.867298
78,Depeche Mode: Memento Mori Tour,2023-12-10,19:00:00,Rock,Kia Forum,Inglewood,CA,-118.341868,33.9583
79,Sunny Sweeney,2023-12-10,19:00:00,Country,The Peppermint Club,Los Angeles,CA,-118.381072,34.076851
80,Hania Rani,2023-12-10,19:00:00,Classical,Teragram Ballroom,Los Angeles,CA,-118.267076,34.051841
81,Mutoid Man,2023-12-10,19:00:00,Rock,Constellation Room,Santa Ana,CA,-117.917493,33.699879
82,Healy with DLG,2023-12-10,19:00:00,Hip-Hop/Rap,The Echo,Los Angeles,CA,-118.260108,34.077729
83,Alexandra Kay,2023-12-10,20:00:00,Other,Roxy Theatre-CA,West Hollywood,CA,-118.3815,34.0942
84,Chris Isaak: It's Almost Christmas Tour,2023-12-10,20:00:00,Rock,City National Grove of Anaheim,Anaheim,CA,-117.88624041,33.80303485
85,Xavier Omar,2023-12-10,20:30:00,Other,The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
86,Jeffrey Martin,2023-12-10,21:00:00,Other,Pappy and Harriets Pioneertown Palace,Pioneertown,CA,-116.548203,34.194401
87,Remember the Name: Live from Los Angeles,2023-12-10,21:00:00,Rock,The Wiltern,Los Angeles,CA,-118.30879207,34.06141494
88,Aaryan Shah,2023-12-10,21:30:00,Rock,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
89,Haley Joelle,2023-12-11,18:30:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
90,Positive Mental Attitude: A Benefit For HR of Bad Brains,2023-12-11,19:00:00,Rock,Teragram Ballroom,Los Angeles,CA,-118.267076,34.051841
91,Hoobastank - SOLD OUT,2023-12-11,19:00:00,Rock,The Echo,Los Angeles,CA,-118.260108,34.077729
92,JORDY,2023-12-11,20:00:00,Other,Roxy Theatre-CA,West Hollywood,CA,-118.3815,34.0942
93,Cannons,2023-12-11,20:00:00,Other,Ventura Music Hall,Ventura,CA,-119.330399,34.348801
94,Heilung,2023-12-11,20:00:00,Other,Shrine Expo Hall,Los Angeles,CA,-118.285004,34.027599
95,Parmalee,2023-12-11,20:00:00,Country,Morongo Casino Resort and Spa,Cabazon,CA,-116.80553543,33.92210864
96,Fridayy,2023-12-11,21:30:00,R&B,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
97,Sarcastic Sounds,2023-12-12,18:30:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
98,K-Love Live,2023-12-12,19:00:00,Other,SeaCoast Grace Church,Cypress,CA,-118.038597,33.8176
99,Thomas Day: LOVE ME FOR ANOTHER DAY TOUR,2023-12-12,19:00:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
100,Depeche Mode: Memento Mori Tour,2023-12-12,19:30:00,Rock,Kia Forum,Inglewood,CA,-118.341868,33.9583
101,Cannons,2023-12-12,20:00:00,Other,Glass House,Pomona,CA,-117.754799,34.041901
102,Benches,2023-12-12,20:00:00,Rock,Roxy Theatre-CA,West Hollywood,CA,-118.3815,34.0942
103,Chris Isaak,2023-12-12,20:00:00,Rock,Orpheum Theatre,Los Angeles,CA,-118.25558624,34.04263554
104,Automatic,2023-12-12,21:00:00,Other,The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
105,Moneybagg Yo,2023-12-13,19:00:00,Other,The Novo by Microsoft,Los Angeles,CA,-118.266403,34.0397
106,Leon Thomas - Electric Dusk Live,2023-12-13,19:00:00,R&B,The Echo,Los Angeles,CA,-118.260108,34.077729
107,Thomas Day: LOVE ME FOR ANOTHER DAY TOUR,2023-12-13,19:00:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
108,Harbour & Arms Akimbo with Sylmar,2023-12-13,19:00:00,Rock,Teragram Ballroom,Los Angeles,CA,-118.267076,34.051841
109,A Conversation With Victoria Monét With Special Guest D'Mile,2023-12-13,19:30:00,Pop,The GRAMMY Museum,Los Angeles,CA,-118.264647,34.04441
110,Raja Kumari,2023-12-13,20:00:00,Other,Roxy Theatre-CA,West Hollywood,CA,-118.3815,34.0942
111,Molly Tuttle Band,2023-12-13,20:00:00,Other,Troubadour,West Hollywood,CA,-118.3815,34.0942
112,Jay Cinco Presents: Hear My Story,2023-12-14,18:30:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
113,Ozomatli,2023-12-14,19:00:00,World,Ventura Music Hall,Ventura,CA,-119.330399,34.348801
114,Maxo,2023-12-14,19:00:00,Rock,The Echo,Los Angeles,CA,-118.260108,34.077729
115,Mixed Feelings Presents: YENDRY,2023-12-14,19:00:00,Latin,Echoplex,Los Angeles,CA,-118.2606316,34.0775847
116,The Bobby Lees,2023-12-14,19:00:00,Rock,Constellation Room,Santa Ana,CA,-117.917493,33.699879
117,LIL TJAY - BEAT THE ODDS TOUR,2023-12-14,19:00:00,Hip-Hop/Rap,Hollywood Palladium,Hollywood,CA,-118.32421313,34.09850537
118,The White Buffalo,2023-12-14,19:00:00,Rock,The Observatory,Santa Ana,CA,-117.9175717,33.6997648
119,The Drop: Tate McRae,2023-12-14,19:30:00,Pop,The GRAMMY Museum,Los Angeles,CA,-118.264647,34.04441
120,Mextour Live Featuring Eslabon Armado And Deorro,2023-12-14,19:30:00,Latin,The Torch at LA Coliseum,Los Angeles,CA,-118.28297,34.01468
121,Raekwon w/ Ghostface Killah,2023-12-14,20:00:00,Other,The Novo by Microsoft,Los Angeles,CA,-118.266403,34.0397
122,Death From Above 1979,2023-12-14,20:00:00,Other,Roxy Theatre-CA,West Hollywood,CA,-118.3815,34.0942
123,Emmanuel,2023-12-14,20:00:00,Other,Yaamava' Resort & Casino at San Manuel,Highland,CA,-117.153198,34.1353
124,Lit,2023-12-14,20:00:00,Rock,Morongo Casino Resort and Spa,Cabazon,CA,-116.80553543,33.92210864
125,Dylan Matthew,2023-12-14,20:00:00,Pop,Teragram Ballroom,Los Angeles,CA,-118.267076,34.051841
126,Vegyn,2023-12-14,21:00:00,Other,The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
127,Harbour,2023-12-14,21:00:00,Other,Pappy and Harriets Pioneertown Palace,Pioneertown,CA,-116.548203,34.194401
128,Shanin Blake,2023-12-14,21:30:00,Pop,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
129,Emo Nite presents Grave at the Torch / 18+,2023-12-15,17:00:00,Dance/Electronic,The Torch at LA Coliseum,Los Angeles,CA,-118.28297,34.01468
130,Cattle Decapitation,2023-12-15,18:00:00,Rock,The Belasco,Los Angeles,CA,-118.2592392,34.04024506
131,For the Children 2023 Pre-Show: Seeyouspacecowboy (Songs for the Firin,2023-12-15,18:30:00,Metal,The Midnight Hour,San Fernando,CA,-118.2592392,34.04024506
132,Andrew Michael Wells,2023-12-15,18:30:00,Rock,Constellation Room,Santa Ana,CA,-117.917493,33.699879
133,helloworld,2023-12-15,18:30:00,Rock,The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
134,Hiss Golden Messenger,2023-12-15,19:00:00,Other,Troubadour,West Hollywood,CA,-118.3815,34.0942
135,Jazmin Bean - The Terrified Tour,2023-12-15,19:00:00,Metal,The Parish at House of Blues Anaheim,Anaheim,CA,-117.912474,33.806533
136,Ozomatli,2023-12-15,19:00:00,Latin,The Observatory,Santa Ana,CA,-117.9175717,33.6997648
137,Flatbush Zombies: BetterOffDead 10 Year Anniversary,2023-12-15,19:00:00,Hip-Hop/Rap,House of Blues Anaheim,Anaheim,CA,-117.9229975,33.8095868
138,Gilberto Santa Rosa,2023-12-15,19:00:00,Latin,The Wiltern,Los Angeles,CA,-118.30879207,34.06141494
139,"Graf Orlock with Thou, and Dangers",2023-12-15,19:00:00,Rock,Echoplex,Los Angeles,CA,-118.2606316,34.0775847
140,"Castillo ""Pleasure & Pain"" Record Release Party W/ Home Front, Conserv",2023-12-15,19:30:00,Rock,First Street Pool and Billiard Parlor ,Los Angeles,CA,-118.2606316,34.0775847
141,Depeche Mode: Memento Mori Tour,2023-12-15,19:30:00,Rock,Crypto.com Arena,Los Angeles,CA,-118.267253,34.043003
142,Red Hot Cholo Peppers,2023-12-15,20:00:00,Rock,Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
143,Friday's I'm In Love featuring The Reflexx & Red Rocker's John Griffith,2023-12-15,20:00:00,Undefined,The Biergarten at Old World HB,Huntington Beach,CA,-117.9966533,33.73469267
