Show_ID,Performing,date,time,genre,venue,city,state,long,lat
0,girlhouse,2023-12-06,18:00:00,Rock,Mercury Lounge,New York,NY,-73.986806,40.722036
1,The Maine,2023-12-06,18:30:00,Rock,Irving Plaza Powered By Verizon 5G,New York,NY,-73.9884469,40.734917
2,Energy Curfew Music Hour W/ Chris Thile And Punch Brothers,2023-12-06,19:00:00,Variety,Minetta Lane Theatre,New York,NY,-74.0012676,40.7303577
3,GIGGS,2023-12-06,19:00:00,Hip-Hop/Rap,Bowery Ballroom,New York,NY,-73.993542,40.720364
4,Leanna Firestone,2023-12-06,19:00:00,Pop,Gramercy Theatre,New York,NY,-73.98501292,40.73975368
5,Jonas Brothers: FIVE ALBUMS. ONE NIGHT.,2023-12-06,19:00:00,Rock,Prudential Center,Newark,NJ,-74.17121214,40.73340555
6,Amy Grant & Michael W. Smith Christmas,2023-12-06,19:30:00,Rock,Toyota Oakdale Theatre,Wallingford,CT,-72.846188,41.4486599
7,Holiday Cheer for FUV,2023-12-06,20:00:00,Rock,Beacon Theatre,New York,NY,-73.980673,40.779925
8,CLUB BOYBND,2023-12-06,21:00:00,R&B,Mercury Lounge,New York,NY,-73.986806,40.722036
9,Curtis Waters,2023-12-07,18:00:00,Pop,Mercury Lounge,New York,NY,-73.986806,40.722036
10,Pentatonix The Most Wonderful Tour Of The Year,2023-12-07,19:00:00,Rock,Mohegan Sun Arena,Uncasville,CT,-72.0914563,41.4915974
11,Romy,2023-12-07,19:00:00,Other,Webster Hall,New York,NY,-73.989098,40.731602
12,Orchestra of St. Luke's,2023-12-07,19:00:00,Other,Stern Auditorium / Perelman Stage at Carnegie Hall,New York,NY,-73.985298,40.765202
13,Little Shop of Horrors,2023-12-07,19:00:00,Theatre,Westside Theatre Upstairs - NY,New York,NY,-73.9758,40.785999
14,Pan Arcadia / Will Leet,2023-12-07,19:00:00,Rock,Brooklyn Made,Brooklyn ,NY,-73.92193,40.70708
15,Jonas Brothers: FIVE ALBUMS. ONE NIGHT.,2023-12-07,19:00:00,Rock,Prudential Center,Newark,NJ,-74.17121214,40.73340555
16,96.5TIC Deck The Hall Ball,2023-12-07,19:30:00,Rock,Toyota Oakdale Theatre,Wallingford,CT,-72.846188,41.4486599
17,New York Philharmonic w/ Andres Orozco-Estrada,2023-12-07,19:30:00,Classical,David Geffen Hall,New York,NY,-73.9841,40.7761
18,The 8 Nights of Hanukkah with Yo La Tengo,2023-12-07,19:30:00,Rock,Bowery Ballroom,New York,NY,-73.993542,40.720364
19,The Maine,2023-12-07,19:30:00,Rock,XL Live,Harrisburg,PA,-74.7603259,40.2372006
20,Half Step,2023-12-07,20:00:00,Rock,Garcia's at The Capitol Theatre,Port Chester,NY,-73.6654488,41.0013461
21,Jefferson Starship,2023-12-07,20:00:00,Rock,Premier Theater at Foxwoods Resort Casino,Mashantucket,CT,-71.9630872,41.4783608
22,KOAN Sound,2023-12-07,20:00:00,Dance/Electronic,Racket NYC,New York,NY,-73.999702,40.740898
23,Dinosaur Jr,2023-12-07,20:00:00,Alternative,Music Hall of Williamsburg,Brooklyn,NY,-73.956497,40.711102
24,The Fearless Flyers,2023-12-07,20:00:00,Other,Blue Note - NY,New York,NY,-73.997902,40.7253
25,Mora,2023-12-07,20:00:00,Other,Palladium Times Square ,New York City,NY,-73.985763,40.757201
26,"Low Beam, Funky Toona",2023-12-07,21:00:00,Pop,Mercury Lounge,New York,NY,-73.986806,40.722036
27,The Fearless Flyers,2023-12-07,22:30:00,Other,Blue Note - NY,New York,NY,-73.997902,40.7253
28,moe.,2023-12-08,22:30:00,Rock,The Capitol Theatre,Port Chester,NY,-73.6654488,41.0013461
29,Oliver Hazard,2023-12-08,18:00:00,Folk,Mercury Lounge,New York,NY,-73.986806,40.722036
30,Z100's Jingle Ball Presented by Capital One,2023-12-08,19:00:00,Rock,Madison Square Garden,New York,NY,-73.9916006,40.7497062
31,Lamp,2023-12-08,19:00:00,Rock,The Wonder Bar,Asbury Park,NJ,-73.99950139,40.22328639
32,Aterciopelados,2023-12-08,19:00:00,Latin,Irving Plaza Powered By Verizon 5G,New York,NY,-73.9884469,40.734917
33,Meshuggah with Special Guests In Flames and Whitechapel,2023-12-08,19:00:00,Metal,The Paramount,Huntington,NY,-73.42591099,40.86969685
34,Marky Ramone Holiday Blitzkrieg,2023-12-08,19:00:00,Rock,The Stone Pony,Asbury Park,NJ,-74.00071097,40.220001
35,Josey Scott's Saliva,2023-12-08,19:00:00,Rock,Reverb,Reading,PA,-75.9196123,40.3563327
36,Ashley McBryde,2023-12-08,19:30:00,Other,Webster Hall,New York,NY,-73.989098,40.731602
37,The 8 Nights of Hanukkah with Yo La Tengo,2023-12-08,19:30:00,Rock,Bowery Ballroom,New York,NY,-73.993542,40.720364
38,Brett Eldredge: Glow Live Tour,2023-12-08,20:00:00,Country,Beacon Theatre,New York,NY,-73.980673,40.779925
39,Straight No Chaser: Sleighin' It Tour,2023-12-08,20:00:00,Rock,Mohegan Sun Arena,Uncasville,CT,-72.0914563,41.4915974
40,Il Divo,2023-12-08,20:00:00,Rock,Premier Theater at Foxwoods Resort Casino,Mashantucket,CT,-71.9630872,41.4783608
41,moe.,2023-12-08,20:00:00,Rock,The Capitol Theatre,Port Chester,NY,-73.6654488,41.0013461
42,Watchhouse,2023-12-08,20:00:00,Country,Tarrytown Music Hall,Tarrytown,NY,-73.846001,41.085098
43,New York Philharmonic w/ Andres Orozco-Estrada,2023-12-08,20:00:00,Classical,David Geffen Hall,New York,NY,-73.9841,40.7761
44,Albert Cummings,2023-12-08,20:00:00,Other,Palace Theatre Stamford,Stamford,CT,-73.537903,41.053101
45,Little Shop of Horrors,2023-12-08,20:00:00,Theatre,Westside Theatre Upstairs - NY,New York,NY,-73.9758,40.785999
46,Engelbert Humperdinck,2023-12-08,20:00:00,Pop,NYCB Theatre at Westbury,Westbury,NY,-73.56055321,40.77517125
47,Judy Collins: An Evening of Hits & Holiday Classics,2023-12-08,20:00:00,Rock,Bethel Woods Center for the Arts,Bethel,NY,-74.8779738,41.69688884
48,KC & the Sunshine Band,2023-12-08,20:00:00,Rock,Bergen Performing Arts Center,Englewood,NJ,-73.97511,40.895358
49,Etienne Charles Creole Christmas,2023-12-08,20:00:00,Jazz,Tilles Center - Krasnoff Theater,Brookville,NY,-73.6197704,40.8119256
50,Jefferson Starship,2023-12-08,20:00:00,Rock,The Space at Westbury Theater,Westbury,NY,-73.58745575,40.75813293
51,Mora,2023-12-08,20:00:00,Other,Palladium Times Square ,New York City,NY,-73.985763,40.757201
52,Pussy Riot: Riot Days - An Activist Multimedia Experience,2023-12-08,20:00:00,Other,Warsaw,Brooklyn,NY,-73.948408,40.722392
